Member Name|Phone No.|Points|Wallet Balance
Lim Jia Yi|0199234567|700|655
Rebecca Jing Jing|01223546987|240|312
Yap Soo Huan|0129871928|5000|879
Poh Zheng Ling|0109923419|400|124
Jony. J|0169871234|60|60
Chan Chen Chen|0112536478|900|901
Soh Ai Ling|01110506820|16632|2141.4
Berry Lee Ying|01923147384|350|133
Look Wey Shen|01154378293|900|677
Mark Loh Zi Hin|01137214439|1000|888
Ooi Guan Cheng|0199887226|720|142
Yeoh Yun Yuan|0192278932|810|564
Jenny Hong Heng|0112345849|0|300
Lew Kong Kong|01374455671|2000|900
Loh Wai Siong|01882021435|10|912
Soh Kok Siong|01137219288|3015|29985.6
